id_municipio,uf,municipio,easting,northing
3221,PR,Cafezal do Sul,-368631.353,7330514.895
3222,PR,Califórnia,-149228.063,7369300.427
3223,PR,Cambará,-20435.697,7442762.408
3225,PR,Cambira,-172291.394,7375781.203
3224,PR,Cambé,-143139.511,7411896.988
3228,PR,Campina Grande do Sul,91597.477,7195162.7
3226,PR,Campina da Lagoa,-291054.038,7258032.599
3227,PR,Campina do Simão,-189181.5,7208723.765
3229,PR,Campo Bonito,-308166.681,7207835.235
3231,PR,Campo Largo,44364.217,7177192.162
3232,PR,Campo Magro,52004.803,7186763.414
3233,PR,Campo Mourão,-251553.639,7320852.903
3230,PR,Campo do Tenente,30796.21,7118114.914
3235,PR,Candói,-208270.683,7152436.781
3236,PR,Cantagalo,-217448.091,7174542.194
3237,PR,Capanema,-385879.895,7131317.85
3238,PR,Capitão Leônidas Marques,-367608.622,7153527.479
3239,PR,Carambeí,-15294.71,7234761.97
3240,PR,Carlópolis,17088.967,7401295.303
3241,PR,Cascavel,-355904.715,7212990.76
3242,PR,Castro,-6916.587,7249096.459
3243,PR,Catanduvas,-323317.021,7187360.07
3244,PR,Centenário do Sul,-178051.929,7461357.722
3245,PR,Cerro Azul,69894.375,7248036.921
3247,PR,Chopinzinho,-254606.038,7119088.653
3248,PR,Cianorte,-277134.5,7362649.409
3249,PR,Cidade Gaúcha,-313587.406,7392248.927
3250,PR,Clevelândia,-234339.076,7058518.273
3251,PR,Colombo,74307.78,7195949.33
3252,PR,Colorado,-216835.217,7457487.128
3253,PR,Congonhinhas,-67756.27,7384646.057
3254,PR,Conselheiro Mairinck,-27924.833,7377572.406
3255,PR,Contenda,44617.385,7152064.738
3256,PR,Corbélia,-340897.106,7231849.24
3257,PR,Cornélio Procópio,-78865.651,7424971.612
3258,PR,Coronel Domingos Soares,-203833.104,7079939.757
3259,PR,Coronel Vivida,-258508.336,7104883.153
3260,PR,Corumbataí do Sul,-224629.188,7316152.793
3264,PR,Cruz Machado,-135503.36,7107001.827
3261,PR,Cruzeiro do Iguaçu,-317812.092,7141289.0
3262,PR,Cruzeiro do Oeste,-324811.661,7346587.184
3263,PR,Cruzeiro do Sul,-235538.411,7442638.858
3265,PR,Cruzmaltina,-157550.033,7329190.297
3266,PR,Curitiba,70879.137,7181731.597
3267,PR,Curiúva,-55512.043,7330970.675
3234,PR,Cândido de Abreu,-142580.509,7268415.543
3246,PR,Céu Azul,-393390.607,7189117.335
3268,PR,Diamante d`Oeste,-421745.041,7210430.02
3269,PR,Diamante do Norte,-309506.405,7473190.306
3270,PR,Diamante do Sul,-275941.552,7209090.081
3271,PR,Dois Vizinhos,-309761.217,7128196.648
3272,PR,Douradina,-349397.867,7389826.653
3273,PR,Doutor Camargo,-237952.809,7376046.036
3274,PR,Doutor Ulysses,51938.518,7275848.656
3276,PR,Engenheiro Beltrão,-241523.595,7349204.337
3277,PR,Entre Rios do Oeste,-437132.22,7236043.081
3275,PR,Enéas Marques,-319325.607,7104800.755
3278,PR,Esperança Nova,-400491.663,7348347.525
3279,PR,Espigão Alto do Iguaçu,-289450.757,7165096.647
3280,PR,Farol,-276171.086,7314001.572
3281,PR,Faxinal,-143926.894,7330429.074
3282,PR,Fazenda Rio Grande,67453.34,7154657.513
3284,PR,Fernandes Pinheiro,-58284.568,7177952.445
3285,PR,Figueira,-50758.919,7352354.423
3287,PR,Flor da Serra do Sul,-331566.592,7069576.671
3286,PR,Floraí,-248047.041,7402358.078
3288,PR,Floresta,-223632.355,7371754.495
3289,PR,Florestópolis,-156286.008,7457472.846
3290,PR,Flórida,-213489.648,7430068.295
3291,PR,Formosa do Oeste,-345393.57,7287753.635
3292,PR,Foz do Iguaçu,-465538.422,7139919.74
3293,PR,Foz do Jordão,-215167.316,7134071.835
3294,PR,Francisco Alves,-401689.747,7309846.686
3295,PR,Francisco Beltrão,-307053.632,7090224.895
3283,PR,Fênix,-211659.551,7337712.918
3296,PR,General Carneiro,-130697.563,7061736.973
3297,PR,Godoy Moreira,-204514.811,7309131.127
3298,PR,Goioerê,-316839.259,7301921.544
3299,PR,Goioxim,-205488.217,7195338.004
3300,PR,Grandes Rios,-162277.697,7314107.544
3302,PR,Guairaçá,-290204.515,7443261.281
3303,PR,Guamiranga,-85221.962,7201243.124
3304,PR,Guapirama,-15033.027,7389818.643
3305,PR,Guaporema,-296841.682,7397297.264
3306,PR,Guaraci,-182770.41,7444353.903
3307,PR,Guaraniaçu,-295707.54,7201037.855
3308,PR,Guarapuava,-150913.967,7176056.476
3309,PR,Guaraqueçaba,165654.714,7196907.239
3310,PR,Guaratuba,141697.431,7132536.17
3301,PR,Guaíra,-443708.03,7305066.057
3311,PR,Honório Serpa,-239445.634,7087849.39
3312,PR,Ibaiti,-29317.123,7352904.834
3313,PR,Ibema,-309722.024,7198585.286
3314,PR,Ibiporã,-119819.633,7414076.514
3315,PR,Icaraíma,-382582.022,7386342.747
3316,PR,Iguaraçu,-199633.642,7418438.586
3317,PR,Iguatu,-319273.031,7242309.045
3318,PR,Imbaú,-83776.769,7284013.311
3319,PR,Imbituva,-64505.13,7197965.177
3321,PR,Inajá,-240537.291,7465993.995
3322,PR,Indianópolis,-287825.118,7382587.307
3320,PR,Inácio Martins,-111082.897,7157868.561
3323,PR,Ipiranga,-63480.696,7220790.714
3324,PR,Iporã,-387741.801,7317263.896
3325,PR,Iracema do Oeste,-348740.536,7272885.27
3326,PR,Irati,-68466.009,7170967.755
3327,PR,Iretama,-221095.835,7280144.842
3328,PR,Itaguajé,-217269.811,7481906.039
3329,PR,Itaipulândia,-440083.622,7187323.723
3330,PR,Itambaracá,-54891.784,7444211.334
3331,PR,Itambé,-214150.706,7365864.897
3332,PR,Itapejara d`Oeste,-283747.585,7105028.755
3333,PR,Itaperuçu,62016.358,7203687.754
3334,PR,Itaúna do Sul,-311727.331,7464804.765
3336,PR,Ivaiporã,-178678.508,7301970.083
3338,PR,Ivatuba,-237863.613,7369291.136
3337,PR,Ivaté,-357142.476,7386412.797
3335,PR,Ivaí,-91666.627,7221492.932
3339,PR,Jaboti,-17447.95,7364931.134
3340,PR,Jacarezinho,-9577.359,7430152.305
3341,PR,Jaguapitã,-170100.174,7429218.11
3342,PR,Jaguariaíva,21830.057,7310694.171
3343,PR,Jandaia do Sul,-178959.482,7374126.451
3344,PR,Janiópolis,-291915.41,7308184.132
3345,PR,Japira,-24245.359,7356824.773
3346,PR,Japurá,-273159.074,7384147.192
3347,PR,Jardim Alegre,-180546.661,7309418.439
3348,PR,Jardim Olinda,-226188.45,7488848.992
3349,PR,Jataizinho,-112208.52,7415297.838
3350,PR,Jesuítas,-352307.607,7277395.468
3351,PR,Joaquim Távora,-1636.082,7392694.864
3352,PR,Jundiaí do Sul,-36759.666,7398451.854
3353,PR,Juranda,-296583.141,7276545.281
3354,PR,Jussara,-263391.877,7367614.38
3355,PR,Kaloré,-180269.403,7349793.968
3356,PR,Lapa,26694.236,7141627.228
3357,PR,Laranjal,-255884.423,7226843.545
3358,PR,Laranjeiras do Sul,-246664.25,7169114.438
3359,PR,Leópolis,-89714.767,7435797.301
3360,PR,Lidianópolis,-176885.894,7317501.888
3361,PR,Lindoeste,-365367.604,7178539.11
3362,PR,Loanda,-336253.31,7441749.262
3363,PR,Lobato,-213688.567,7438860.43
3364,PR,Londrina,-131638.257,7409341.635
3365,PR,Luiziana,-239021.246,7294837.472
3366,PR,Lunardelli,-185831.155,7320185.179
3367,PR,Lupionópolis,-184849.335,7468159.41
3368,PR,Mallet,-83398.17,7124583.043
3369,PR,Mamborê,-265168.406,7289904.504
3371,PR,Mandaguari,-181939.598,7380284.878
3370,PR,Mandaguaçu,-226458.359,7400318.324
3372,PR,Mandirituba,65768.402,7141866.18
3373,PR,Manfrinópolis,-332924.748,7081169.605
3374,PR,Mangueirinha,-219503.963,7110953.444
3375,PR,Manoel Ribas,-176272.711,7272452.143
3376,PR,Marechal Cândido Rondon,-419613.99,7253629.423
3377,PR,Maria Helena,-338992.195,7364135.021
3378,PR,Marialva,-194746.27,7386401.012
3380,PR,Marilena,-327501.486,7463436.669
3381,PR,Mariluz,-330082.036,7320678.591
3379,PR,Marilândia do Sul,-144335.171,7359944.889
3382,PR,Maringá,-209506.923,7392804.945
3384,PR,Maripá,-397383.723,7270538.234
3383,PR,Mariópolis,-254631.209,7063283.278
3385,PR,Marmeleiro,-303911.453,7083091.551
3386,PR,Marquinho,-232155.89,7202922.43
3387,PR,Marumbi,-177960.117,7362505.995
3388,PR,Matelândia,-408074.523,7176849.076
3389,PR,Matinhos,144152.382,7139040.188
3390,PR,Mato Rico,-224017.0,7249390.473
3391,PR,Mauá da Serra,-134769.026,7342968.747
3392,PR,Medianeira,-417941.453,7170785.555
3393,PR,Mercedes,-431186.218,7264533.716
3394,PR,Mirador,-297095.145,7406811.02
3395,PR,Miraselva,-165715.361,7445539.47
